Active_Cases,Country,Last_Update,New_Cases,New_Deaths,Total_Cases,Total_Deaths,Total_Recovered
49233.0,Faeroe Islands,,28.0,703959.0,34658.0,,569.0
21473764.0,Mali,,743.0,1544.0,33164.0,32332.0,35.0
67277.0,Cayman Islands,,37.0,467797.0,31472.0,8553.0,550.0
185113.0,Saint Lucia,,410.0,163225.0,30215.0,29805.0,2215.0
12784726.0,Benin,,163.0,2193.0,28036.0,27847.0,13.0
667490.0,Macao,,123.0,41458.0,27673.0,3487.0,184.0
16841795.0,Somalia,,1361.0,1623.0,27334.0,13182.0,81.0
117489.0,Micronesia,,65.0,225953.0,26547.0,,553.0
34085.0,San Marino,,128.0,768226.0,26185.0,26011.0,3755.0
721159.0,Solomon Islands,,199.0,35989.0,25954.0,,276.0
5797805.0,Congo,,386.0,4377.0,25375.0,24006.0,67.0
1369429.0,Timor-Leste,,138.0,17131.0,23460.0,23102.0,101.0
22102838.0,Burkina Faso,,400.0,1001.0,22114.0,21596.0,18.0
38387.0,Liechtenstein,,94.0,562013.0,21574.0,,2449.0
33704.0,Gibraltar,2025-03-22 23:42:00,113.0,609720.0,20550.0,,3353.0
113475.0,Grenada,,238.0,173545.0,19693.0,19358.0,2097.0
61939.0,Bermuda,,165.0,304493.0,18860.0,18685.0,2664.0
11618511.0,South Sudan,,147.0,1620.0,18819.0,18115.0,13.0
6779100.0,Nicaragua,,225.0,2728.0,18491.0,4225.0,33.0
9957464.0,Tajikistan,,125.0,1786.0,17786.0,17264.0,13.0
1496662.0,Equatorial Guinea,,183.0,11512.0,17229.0,16907.0,122.0
39783.0,Monaco,,67.0,431868.0,17181.0,,1684.0
202239.0,Samoa,,31.0,84089.0,17006.0,1605.0,153.0
107749.0,Tonga,,13.0,157310.0,16950.0,15638.0,121.0
60057.0,Marshall Islands,,17.0,268711.0,16138.0,16121.0,283.0
72344.0,Dominica,,74.0,221691.0,16038.0,15964.0,1023.0
1016097.0,Djibouti,,189.0,15441.0,15690.0,15427.0,186.0
5016678.0,CAR,,113.0,3078.0,15440.0,15200.0,23.0
2558482.0,Gambia,2025-03-23 11:46:00,372.0,4935.0,12626.0,12189.0,145.0
39730.0,Saint Martin,,63.0,310194.0,12324.0,,1586.0
321832.0,Vanuatu,,14.0,37346.0,12019.0,11976.0,44.0
56973.0,Greenland,,21.0,210117.0,11971.0,2761.0,369.0
31154867.0,Yemen,,2159.0,383.0,11945.0,9124.0,69.0
26647.0,Caribbean Netherlands,,38.0,438398.0,11682.0,10476.0,1426.0
43966.0,Sint Maarten,,92.0,251353.0,11051.0,10905.0,2093.0
3662244.0,Eritrea,,103.0,2782.0,10189.0,10086.0,28.0
26083660.0,Niger,,312.0,381.0,9931.0,8890.0,12.0
111551.0,St. Vincent Grenadines,,124.0,86723.0,9674.0,9493.0,1112.0
2063367.0,Guinea-Bissau,,177.0,4659.0,9614.0,8929.0,86.0
907419.0,Comoros,,161.0,10038.0,9109.0,8939.0,177.0
99509.0,Antigua and Barbuda,,146.0,91509.0,9106.0,8954.0,1467.0
5305117.0,Liberia,,295.0,1525.0,8090.0,7783.0,56.0
8306436.0,Sierra Leone,,126.0,937.0,7779.0,,15.0
17413580.0,Chad,,194.0,442.0,7701.0,4874.0,11.0
